"ENSG","geneName","description"
"ENSPTRG00000015390","ATP2C1","ATPase secretory pathway Ca2+ transporting 1 [Source:VGNC Symbol;Acc:VGNC:7959]"
"ENSPTRG00000015401","DNAJC13","DnaJ heat shock protein family (Hsp40) member C13 [Source:VGNC Symbol;Acc:VGNC:6200]"
"ENSPTRG00000015448","CEP70","centrosomal protein 70 [Source:VGNC Symbol;Acc:VGNC:5039]"
"ENSPTRG00000015482","XRN1","5'-3' exoribonuclease 1 [Source:VGNC Symbol;Acc:VGNC:7141]"
"ENSPTRG00000015483","ATR","ATR serine/threonine kinase [Source:VGNC Symbol;Acc:VGNC:6166]"
"ENSPTRG00000041967","PLSCR5","phospholipid scramblase family member 5 [Source:VGNC Symbol;Acc:VGNC:7096]"
"ENSPTRG00000015520","COMMD2","COMM domain containing 2 [Source:VGNC Symbol;Acc:VGNC:1787]"
"ENSPTRG00000015526","TSC22D2","TSC22 domain family member 2 [Source:VGNC Symbol;Acc:VGNC:12216]"
"ENSPTRG00000039581","SELENOT","selenoprotein T [Source:VGNC Symbol;Acc:VGNC:53379]"
"ENSPTRG00000015542","MBNL1","muscleblind like splicing regulator 1 [Source:VGNC Symbol;Acc:VGNC:2039]"
"ENSPTRG00000015570","GFM1","G elongation factor mitochondrial 1 [Source:VGNC Symbol;Acc:VGNC:13003]"
"ENSPTRG00000015578","IFT80","intraflagellar transport 80 [Source:VGNC Symbol;Acc:VGNC:11415]"
"ENSPTRG00000015616","SKIL","SKI like proto-onco [Source:VGNC Symbol;Acc:VGNC:14233]"
"ENSPTRG00000015634","ECT2","epithelial cell transforming 2 [Source:VGNC Symbol;Acc:VGNC:1801]"
"ENSPTRG00000015652","TTC14","tetratricopeptide repeat domain 14 [Source:VGNC Symbol;Acc:VGNC:2623]"
"ENSPTRG00000015793","DLG1","discs large MAGUK scaffold protein 1 [Source:VGNC Symbol;Acc:VGNC:11381]"
"ENSPTRG00000015927","FBXL5","F-box and leucine rich repeat protein 5 [Source:VGNC Symbol;Acc:VGNC:2990]"
"ENSPTRG00000015970","TBC1D19","TBC1 domain family member 19 [Source:VGNC Symbol;Acc:VGNC:2961]"
"ENSPTRG00000016001","N4BP2","NEDD4 binding protein 2 [Source:VGNC Symbol;Acc:VGNC:644]"
"ENSPTRG00000016014","SLC30A9","solute carrier family 30 member 9 [Source:VGNC Symbol;Acc:VGNC:7723]"
"ENSPTRG00000016017","ATP8A1","ATPase phospholipid transporting 8A1 [Source:VGNC Symbol;Acc:VGNC:7577]"
"ENSPTRG00000016227","COQ2","coenzyme Q2, polyprenyltransferase [Source:VGNC Symbol;Acc:VGNC:2029]"
"ENSPTRG00000016224","COPS4","COP9 signalosome subunit 4 [Source:VGNC Symbol;Acc:VGNC:582]"
"ENSPTRG00000016154","CXCL8","C-X-C motif chemokine ligand 8 [Source:VGNC Symbol;Acc:VGNC:8664]"
"ENSPTRG00000016153","RASSF6","Ras association domain family member 6 [Source:VGNC Symbol;Acc:VGNC:12995]"
"ENSPTRG00000016099","UBA6","ubiquitin like modifier activating enzyme 6 [Source:VGNC Symbol;Acc:VGNC:7427]"
"ENSPTRG00000016098","STAP1","signal transducing adaptor family member 1 [Source:VGNC Symbol;Acc:VGNC:691]"
"ENSPTRG00000016072","CLOCK","clock circadian regulator [Source:VGNC Symbol;Acc:VGNC:2027]"
"ENSPTRG00000016053","SGCB","sarcoglycan beta [Source:VGNC Symbol;Acc:VGNC:2000]"
"ENSPTRG00000016045","FRYL","FRY like transcription coactivator [Source:VGNC Symbol;Acc:VGNC:2080]"
"ENSPTRG00000016042","SLAIN2","SLAIN motif family member 2 [Source:VGNC Symbol;Acc:VGNC:2001]"
"ENSPTRG00000016307","TRMT10A","tRNA methyltransferase 10A [Source:VGNC Symbol;Acc:VGNC:717]"
"ENSPTRG00000016315","PPP3CA","protein phosphatase 3 catalytic subunit alpha [Source:VGNC Symbol;Acc:VGNC:7727]"
"ENSPTRG00000016328","SLC9B2","solute carrier family 9 member B2 [Source:VGNC Symbol;Acc:VGNC:7718]"
"ENSPTRG00000016384","ARSJ","arylsulfatase family member J [Source:VGNC Symbol;Acc:VGNC:10820]"
"ENSPTRG00000016397","USP53","ubiquitin specific peptidase 53 [Source:VGNC Symbol;Acc:VGNC:712]"
"ENSPTRG00000016400","PDE5A","phosphodiesterase 5A [Source:VGNC Symbol;Acc:VGNC:2966]"
"ENSPTRG00000016411","BBS7","Bardet-Biedl syndrome 7 [Source:VGNC Symbol;Acc:VGNC:569]"
"ENSPTRG00000016472","SMARCA5","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5 [Source:NCBI gene (formerly Entrezgene);Acc:461517]"
"ENSPTRG00000016481","ABCE1","ATP binding cassette subfamily E member 1 [Source:VGNC Symbol;Acc:VGNC:2952]"
"ENSPTRG00000016495","TMEM184C","transmembrane protein 184C [Source:VGNC Symbol;Acc:VGNC:722]"
"ENSPTRG00000023095","LRBA","LPS responsive beige-like anchor protein [Source:VGNC Symbol;Acc:VGNC:10383]"
"ENSPTRG00000016604","FBXO8","F-box protein 8 [Source:VGNC Symbol;Acc:VGNC:10861]"
"ENSPTRG00000016649","SNX25","sorting nexin 25 [Source:VGNC Symbol;Acc:VGNC:696]"
"ENSPTRG00000033219","U6","U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]"
"ENSPTRG00000017081","MCTP1","multiple C2 and transmembrane domain containing 1 [Source:VGNC Symbol;Acc:VGNC:6950]"
"ENSPTRG00000023210","KIAA0825","KIAA0825 [Source:VGNC Symbol;Acc:VGNC:4060]"
"ENSPTRG00000017064","TMEM161B","transmembrane protein 161B [Source:VGNC Symbol;Acc:VGNC:4200]"
"ENSPTRG00000017062","RASA1","RAS p21 protein activator 1 [Source:VGNC Symbol;Acc:VGNC:7143]"
"ENSPTRG00000017038","ZFYVE16","zinc finger FYVE-type containing 16 [Source:VGNC Symbol;Acc:VGNC:14164]"
"ENSPTRG00000017011","WDR41","WD repeat domain 41 [Source:VGNC Symbol;Acc:VGNC:4223]"
"ENSPTRG00000016997","POLK","DNA polymerase kappa [Source:VGNC Symbol;Acc:VGNC:8631]"
"ENSPTRG00000016967","MRPS27","mitochondrial ribosomal protein S27 [Source:VGNC Symbol;Acc:VGNC:13545]"
"ENSPTRG00000016954","NAIP","NLR family apoptosis inhibitory protein [Source:VGNC Symbol;Acc:VGNC:13553]"
"ENSPTRG00000016953","ENSPTRG00000016953","None"
"ENSPTRG00000016935","ERBIN","erbb2 interacting protein [Source:VGNC Symbol;Acc:VGNC:11942]"
"ENSPTRG00000040740","LRRC70","leucine rich repeat containing 70 [Source:VGNC Symbol;Acc:VGNC:4075]"
"ENSPTRG00000016913","KIF2A","kinesin family member 2A [Source:VGNC Symbol;Acc:VGNC:13529]"
"ENSPTRG00000016894","GPBP1","GC-rich promoter binding protein 1 [Source:VGNC Symbol;Acc:VGNC:4018]"
"ENSPTRG00000016875","DHX29","DExH-box helicase 29 [Source:VGNC Symbol;Acc:VGNC:6856]"
"ENSPTRG00000016811","RICTOR","RPTOR independent companion of MTOR complex 2 [Source:VGNC Symbol;Acc:VGNC:13579]"
"ENSPTRG00000017103","CHD1","chromodomain helicase DNA binding protein 1 [Source:VGNC Symbol;Acc:VGNC:3950]"
"ENSPTRG00000017107","SLCO4C1","solute carrier organic anion transporter family member 4C1 [Source:VGNC Symbol;Acc:VGNC:8651]"
"ENSPTRG00000028663","SLCO6A1","solute carrier organic anion transporter family member 6A1 [Source:VGNC Symbol;Acc:VGNC:8652]"
"ENSPTRG00000017122","MAN2A1","mannosidase alpha class 2A member 1 [Source:VGNC Symbol;Acc:VGNC:6947]"
"ENSPTRG00000017128","WDR36","WD repeat domain 36 [Source:VGNC Symbol;Acc:VGNC:4222]"
"ENSPTRG00000017152","TMED7","transmembrane p24 trafficking protein 7 [Source:VGNC Symbol;Acc:VGNC:53275]"
"ENSPTRG00000017166","DMXL1","Dmx like 1 [Source:VGNC Symbol;Acc:VGNC:6857]"
"ENSPTRG00000028644","SNX2","sorting nexin 2 [Source:VGNC Symbol;Acc:VGNC:4170]"
"ENSPTRG00000017209","RAPGEF6","Rap guanine nucleotide exchange factor 6 [Source:HGNC Symbol;Acc:HGNC:20655]"
"ENSPTRG00000017277","FAM13B","family with sequence similarity 13 member B [Source:VGNC Symbol;Acc:VGNC:3985]"
"ENSPTRG00000026944","Vault","Vault RNA [Source:RFAM;Acc:RF00006]"
"ENSPTRG00000017479","RNF145","ring finger protein 145 [Source:VGNC Symbol;Acc:VGNC:4151]"
"ENSPTRG00000017503","HMMR","hyaluronan mediated motility receptor [Source:VGNC Symbol;Acc:VGNC:6934]"
"ENSPTRG00000017575","NSD1","nuclear receptor binding SET domain protein 1 [Source:VGNC Symbol;Acc:VGNC:6953]"
"ENSPTRG00000017698","SSR1","signal sequence receptor subunit 1 [Source:VGNC Symbol;Acc:VGNC:12704]"
"ENSPTRG00000017804","H1-2","H1.2 linker histone, cluster member [Source:VGNC Symbol;Acc:VGNC:14360]"
"ENSPTRG00000018171","UBR2","ubiquitin protein ligase E3 component n-recognin 2 [Source:VGNC Symbol;Acc:VGNC:12739]"
"ENSPTRG00000023379","SUPT3H","SPT3 homolog, SAGA and STAGA complex component [Source:VGNC Symbol;Acc:VGNC:7932]"
"ENSPTRG00000018244","CD2AP","CD2 associated protein [Source:VGNC Symbol;Acc:VGNC:12763]"
"ENSPTRG00000018306","ZNF451","zinc finger protein 451 [Source:VGNC Symbol;Acc:VGNC:7948]"
"ENSPTRG00000018330","FAM135A","family with sequence similarity 135 member A [Source:VGNC Symbol;Acc:VGNC:2820]"
"ENSPTRG00000018357","SENP6","SUMO specific peptidase 6 [Source:VGNC Symbol;Acc:VGNC:12790]"
"ENSPTRG00000018365","PHIP","pleckstrin homology domain interacting protein [Source:VGNC Symbol;Acc:VGNC:3617]"
"ENSPTRG00000018375","IBTK","inhibitor of Bruton tyrosine kinase [Source:VGNC Symbol;Acc:VGNC:7187]"
"ENSPTRG00000018378","DOP1A","DOP1 leucine zipper like protein A [Source:VGNC Symbol;Acc:VGNC:2769]"
"ENSPTRG00000018379","PGM3","phosphoglucomutase 3 [Source:VGNC Symbol;Acc:VGNC:11148]"
"ENSPTRG00000018400","ZNF292","zinc finger protein 292 [Source:VGNC Symbol;Acc:VGNC:7945]"
"ENSPTRG00000018429","MANEA","mannosidase endo-alpha [Source:VGNC Symbol;Acc:VGNC:8722]"
"ENSPTRG00000018443","USP45","ubiquitin specific peptidase 45 [Source:VGNC Symbol;Acc:VGNC:12740]"
"ENSPTRG00000018444","CCNC","cyclin C [Source:VGNC Symbol;Acc:VGNC:2655]"
"ENSPTRG00000018451","HACE1","HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1 [Source:VGNC Symbol;Acc:VGNC:2855]"
"ENSPTRG00000018458","ATG5","autophagy related 5 [Source:VGNC Symbol;Acc:VGNC:2644]"
"ENSPTRG00000025127","U6","U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]"
"ENSPTRG00000018508","REV3L","REV3 like, DNA directed polymerase zeta catalytic subunit [Source:VGNC Symbol;Acc:VGNC:9601]"
"ENSPTRG00000018513","TUBE1","tubulin epsilon 1 [Source:VGNC Symbol;Acc:VGNC:7937]"
"ENSPTRG00000018524","COL10A1","collagen type X alpha 1 chain [Source:VGNC Symbol;Acc:VGNC:10661]"
"ENSPTRG00000018534","RWDD1","RWD domain containing 1 [Source:VGNC Symbol;Acc:VGNC:3692]"
"ENSPTRG00000018536","ZUP1","zinc finger containing ubiquitin peptidase 1 [Source:VGNC Symbol;Acc:VGNC:8574]"
"ENSPTRG00000018587","PTPRK","protein tyrosine phosphatase receptor type K [Source:VGNC Symbol;Acc:VGNC:11196]"
"ENSPTRG00000018591","ARHGAP18","Rho GTPase activating protein 18 [Source:VGNC Symbol;Acc:VGNC:2642]"
"ENSPTRG00000018630","HBS1L","HBS1 like translational GTPase [Source:VGNC Symbol;Acc:VGNC:2856]"
"ENSPTRG00000018632","AHI1","Abelson helper integration site 1 [Source:VGNC Symbol;Acc:VGNC:2665]"
"ENSPTRG00000018642","IFNGR1","interferon gamma receptor 1 [Source:VGNC Symbol;Acc:VGNC:3122]"
"ENSPTRG00000018683","SHPRH","SNF2 histone linker PHD RING helicase [Source:VGNC Symbol;Acc:VGNC:8563]"
"ENSPTRG00000018696","LATS1","large tumor suppressor kinase 1 [Source:VGNC Symbol;Acc:VGNC:3367]"
"ENSPTRG00000039033","ENSPTRG00000039033","None"
"ENSPTRG00000018919","ENSPTRG00000018919","None"
"ENSPTRG00000018957","SNX13","sorting nexin 13 [Source:VGNC Symbol;Acc:VGNC:4512]"
"ENSPTRG00000018979","IL6","interleukin 6 [Source:VGNC Symbol;Acc:VGNC:4400]"
"ENSPTRG00000018982","KLHL7","kelch like family member 7 [Source:VGNC Symbol;Acc:VGNC:4411]"
"ENSPTRG00000019002","HNRNPA2B1","heteroous nuclear ribonucleoprotein A2/B1 [Source:VGNC Symbol;Acc:VGNC:14021]"
"ENSPTRG00000019185","SPMIP7","sperm microtubule inner protein 7 [Source:VGNC Symbol;Acc:VGNC:4289]"
"ENSPTRG00000019235","ZNF680","zinc finger protein 680 [Source:VGNC Symbol;Acc:VGNC:4580]"
"ENSPTRG00000019295","ENSPTRG00000019295","None"
"ENSPTRG00000019293","GTF2I","ral transcription factor IIi [Source:VGNC Symbol;Acc:VGNC:8687]"
"ENSPTRG00000019338","RSBN1L","round spermatid basic protein 1 like [Source:VGNC Symbol;Acc:VGNC:8745]"
"ENSPTRG00000019357","SEMA3D","semaphorin 3D [Source:VGNC Symbol;Acc:VGNC:8750]"
"ENSPTRG00000019371","SLC25A40","solute carrier family 25 member 40 [Source:VGNC Symbol;Acc:VGNC:8758]"
"ENSPTRG00000019384","GTPBP10","GTP binding protein 10 [Source:VGNC Symbol;Acc:VGNC:54162]"
"ENSPTRG00000019403","VPS50","VPS50 subunit of EARP/GARPII complex [Source:VGNC Symbol;Acc:VGNC:8788]"
"ENSPTRG00000019563","KMT2E","lysine methyltransferase 2E (inactive) [Source:VGNC Symbol;Acc:VGNC:14034]"
"ENSPTRG00000019571","ENSPTRG00000019571","None"
"ENSPTRG00000028426","GPR22","G protein-coupled receptor 22 [Source:VGNC Symbol;Acc:VGNC:4378]"
"ENSPTRG00000019618","ASZ1","ankyrin repeat, SAM and basic leucine zipper domain containing 1 [Source:VGNC Symbol;Acc:VGNC:7215]"
"ENSPTRG00000022535","POT1","protection of telomeres 1 [Source:VGNC Symbol;Acc:VGNC:4475]"
"ENSPTRG00000041671","UBE2H","ubiquitin conjugating enzyme E2 H [Source:VGNC Symbol;Acc:VGNC:4555]"
"ENSPTRG00000019742","TRIM24","tripartite motif containing 24 [Source:VGNC Symbol;Acc:VGNC:4550]"
"ENSPTRG00000019769","BRAF","B-Raf proto-onco, serine/threonine kinase [Source:VGNC Symbol;Acc:VGNC:14003]"
"ENSPTRG00000037638","U6","U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]"
"ENSPTRG00000019892","KMT2C","lysine methyltransferase 2C [Source:VGNC Symbol;Acc:VGNC:8696]"
"ENSPTRG00000022529","GTF2E2","ral transcription factor IIE subunit 2 [Source:VGNC Symbol;Acc:VGNC:6675]"
"ENSPTRG00000020246","RB1CC1","RB1 inducible coiled-coil 1 [Source:VGNC Symbol;Acc:VGNC:3004]"
"ENSPTRG00000020251","TCEA1","transcription elongation factor A1 [Source:VGNC Symbol;Acc:VGNC:7731]"
"ENSPTRG00000020286","CHD7","chromodomain helicase DNA binding protein 7 [Source:VGNC Symbol;Acc:VGNC:913]"
"ENSPTRG00000020289","ASPH","aspartate beta-hydroxylase [Source:VGNC Symbol;Acc:VGNC:3032]"
"ENSPTRG00000020319","CSPP1","centrosome and spindle pole associated protein 1 [Source:VGNC Symbol;Acc:VGNC:898]"
"ENSPTRG00000020330","SLCO5A1","solute carrier organic anion transporter family member 5A1 [Source:VGNC Symbol;Acc:VGNC:7733]"
"ENSPTRG00000020380","SNX16","sorting nexin 16 [Source:VGNC Symbol;Acc:VGNC:795]"
"ENSPTRG00000020387","CA1","carbonic anhydrase 1 [Source:VGNC Symbol;Acc:VGNC:10213]"
"ENSPTRG00000020410","TMEM64","transmembrane protein 64 [Source:VGNC Symbol;Acc:VGNC:781]"
"ENSPTRG00000020412","PIP4P2","phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2 [Source:VGNC Symbol;Acc:VGNC:782]"
"ENSPTRG00000020471","SPAG1","sperm associated antigen 1 [Source:VGNC Symbol;Acc:VGNC:792]"
"ENSPTRG00000020481","RRM2B","ribonucleotide reductase regulatory TP53 inducible subunit M2B [Source:VGNC Symbol;Acc:VGNC:6572]"
"ENSPTRG00000020482","UBR5","ubiquitin protein ligase E3 component n-recognin 5 [Source:VGNC Symbol;Acc:VGNC:10225]"
"ENSPTRG00000020497","LRP12","LDL receptor related protein 12 [Source:VGNC Symbol;Acc:VGNC:3007]"
"ENSPTRG00000020501","OXR1","oxidation resistance 1 [Source:VGNC Symbol;Acc:VGNC:827]"
"ENSPTRG00000020506","EMC2","ER membrane protein complex subunit 2 [Source:VGNC Symbol;Acc:VGNC:882]"
"ENSPTRG00000020517","CSMD3","CUB and Sushi multiple domains 3 [Source:VGNC Symbol;Acc:VGNC:899]"
"ENSPTRG00000020542","MTBP","MDM2 binding protein [Source:VGNC Symbol;Acc:VGNC:842]"
"ENSPTRG00000020591","EFR3A","EFR3 homolog A [Source:VGNC Symbol;Acc:VGNC:885]"
"ENSPTRG00000019972","TNKS","tankyrase [Source:VGNC Symbol;Acc:VGNC:10224]"
"ENSPTRG00000020744","JAK2","Janus kinase 2 [Source:VGNC Symbol;Acc:VGNC:4770]"
"ENSPTRG00000020839","C9orf72","C9orf72-SMCR8 complex subunit [Source:VGNC Symbol;Acc:VGNC:4638]"
"ENSPTRG00000021041","VPS13A","vacuolar protein sorting 13 homolog A [Source:VGNC Symbol;Acc:VGNC:10118]"
"ENSPTRG00000021111","OGN","osteoglycin [Source:VGNC Symbol;Acc:VGNC:4816]"
"ENSPTRG00000021114","ECM2","extracellular matrix protein 2 [Source:VGNC Symbol;Acc:VGNC:8817]"
"ENSPTRG00000021207","SMC2","structural maintenance of chromosomes 2 [Source:VGNC Symbol;Acc:VGNC:4864]"
"ENSPTRG00000021263","PTBP3","polypyrimidine tract binding protein 3 [Source:VGNC Symbol;Acc:VGNC:4835]"
"ENSPTRG00000021269","ZFP37","ZFP37 zinc finger protein [Source:VGNC Symbol;Acc:VGNC:8953]"
"ENSPTRG00000021368","PPP6C","protein phosphatase 6 catalytic subunit [Source:VGNC Symbol;Acc:VGNC:4829]"
"ENSPTRG00000010140","ENSPTRG00000010140","None"
"ENSPTRG00000024048","ENSPTRG00000024048","None"
"ENSPTRG00000021823","KDM6A","lysine demethylase 6A [Source:VGNC Symbol;Acc:VGNC:12441]"
